prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,wat_flux_balance_mm,initial_storage_mm,final_storage_mm,rm_mm,irr_mm,interception_mm,q_mm,ep_mm,es_mm,er_mm,dp_mm,latqcc_mm,tile_mm,ledger
p24,3,7.105427357601002e-15,7.105427357601002e-15,-9.915867202175434,-9.915867202175427,411.4556873299834,401.53982012780796,860.7130665643108,0.0,110.83686277676838,749.8762037875424,9.915867202175427,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p24,4,-5.240252676230739e-14,5.240252676230739e-14,-6.345860060656719,-6.345860060656771,401.53982012780796,395.19396006715124,1122.5251046334806,0.0,65.96807771344166,1056.5570269200389,6.345860060656771,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p24,5,2.6645352591003757e-14,2.6645352591003757e-14,-7.670652575693055,-7.670652575693028,395.19396006715124,387.5233074914582,810.4366666666667,0.0,135.92984508358256,674.5068215830842,7.670652575693028,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p24,6,-2.34035013590983e-13,2.34035013590983e-13,-1.4283109775944922,-1.4283109775947262,387.5233074914582,386.0949965138637,750.7,0.0,54.43485064418687,696.2651493558133,1.4283109775946126,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p24,7,8.615330671091215e-14,8.615330671091215e-14,-6.503592981593329,-6.5035929815932425,386.0949965138637,379.59140353227036,745.9202998259767,0.0,87.48158350397877,658.438716321998,6.5035929815932425,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p25,1,-28.60236243491653,28.60236243491653,-153.40652060125274,-182.00888303616927,615.0414820768092,461.63496147555645,1011.2,0.0,105.40370668500316,905.7962933149969,64.73083618787724,26.94219763871802,0.0,89.35034536397472,0.9855038455992704,0.0,independent_wat_flux_minus_additive_storage_delta
p25,2,-7.460698725481052e-14,7.460698725481052e-14,-27.570326899517283,-27.570326899517358,461.63496147555645,434.06463457603917,1001.6776574951473,0.0,54.95845243133979,946.7192050638075,26.10146185567236,0.0,0.0,1.4688650438449997,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p25,3,-1.4033219031261979e-13,1.4033219031261979e-13,-9.94417898465133,-9.94417898465147,434.06463457603917,424.12045559138784,865.3866081326954,0.0,110.83686277676838,754.5497453559271,9.944178984651357,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p25,4,-9.769962616701378e-15,9.769962616701378e-15,-6.073696010960475,-6.073696010960485,424.12045559138784,418.04675958042736,1123.2990677054904,0.0,65.96807771344166,1057.3309899920487,6.073696010960485,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p25,5,-1.234568003383174e-13,1.234568003383174e-13,-7.457937616072115,-7.457937616072239,418.04675958042736,410.58882196435525,810.4366666666667,0.0,135.92984508358256,674.5068215830842,7.457937616072239,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
