year,archive,contact,project,type,size,lat,long,obs.exp,treatment,treat.year,tract,site,plot,nbasket,bask.area,foliar.gcm2,nonfoliar.gcm2,total.gcm2,notes
2003,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,243.59,NA,NA,9 baskets averaged
2003,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,259.11,NA,NA,9 baskets averaged
2003,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,239.08,NA,NA,9 baskets averaged
2004,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,216.365,NA,NA,9 baskets averaged
2004,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,218.745,NA,NA,9 baskets averaged
2004,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,260.185,NA,NA,9 baskets averaged
2004,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,232.735,NA,NA,9 baskets averaged
2004,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,204.015,NA,NA,9 baskets averaged
2004,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,196.455,NA,NA,9 baskets averaged
2004,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,265.68,NA,NA,9 baskets averaged
2004,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,254.86,NA,NA,9 baskets averaged
2006,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,208.535,NA,NA,9 baskets averaged
2006,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,210.29,NA,NA,9 baskets averaged
2006,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,205.37,NA,NA,9 baskets averaged
2006,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,201.945,NA,NA,9 baskets averaged
2006,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,200.275,NA,NA,9 baskets averaged
2006,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,232.065,NA,NA,9 baskets averaged
