year,project,archive,contact,type,plot,lat,long,obs.exp,treatment,treat.year,tract,transect,distance.m,size.class,count,d2q,a,dens,volume,mass
2013,phveg,hf271,barker.plotkin,AcerBetula,56,42.5398468,-72.18330089,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,56,42.5398468,-72.18330089,obs,NA,NA,prospect hill,1,3,1,7,0.000172,1.11,0.39,0.000549555,214.3265534
2013,phveg,hf271,barker.plotkin,AcerBetula,56,42.5398468,-72.18330089,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,56,42.5398468,-72.18330089,obs,NA,NA,prospect hill,2,3,1,6,0.000172,1.11,0.39,0.000471047,183.7084743
2013,phveg,hf271,barker.plotkin,Tsuga,57,42.54468433,-72.17634668,obs,NA,NA,prospect hill,1,3,1,14,0.000154,1.13,0.387,0.001001819,387.703813
2013,phveg,hf271,barker.plotkin,Tsuga,57,42.54468433,-72.17634668,obs,NA,NA,prospect hill,1,3,2,2,0.00189,1.13,0.389,0.001756435,683.253322
2013,phveg,hf271,barker.plotkin,Tsuga,57,42.54468433,-72.17634668,obs,NA,NA,prospect hill,2,3,1,4,0.000154,1.13,0.387,0.000286234,110.772518
2013,phveg,hf271,barker.plotkin,Tsuga,57,42.54468433,-72.17634668,obs,NA,NA,prospect hill,2,3,2,1,0.00189,1.13,0.389,0.000878218,341.626661
2013,phveg,hf271,barker.plotkin,Tsuga,58,42.54452666,-72.17568392,obs,NA,NA,prospect hill,1,3,1,5,0.000154,1.13,0.387,0.000357792,138.4656475
2013,phveg,hf271,barker.plotkin,Tsuga,58,42.54452666,-72.17568392,obs,NA,NA,prospect hill,1,3,2,0,0.00189,1.13,0.389,0,0
2013,phveg,hf271,barker.plotkin,Tsuga,58,42.54452666,-72.17568392,obs,NA,NA,prospect hill,2,3,1,5,0.000154,1.13,0.387,0.000357792,138.4656475
2013,phveg,hf271,barker.plotkin,Tsuga,58,42.54452666,-72.17568392,obs,NA,NA,prospect hill,2,3,2,0,0.00189,1.13,0.389,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,66,42.54214411,-72.17304119,obs,NA,NA,prospect hill,1,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,66,42.54214411,-72.17304119,obs,NA,NA,prospect hill,1,3,1,16,0.000172,1.11,0.39,0.001256126,489.8892648
2013,phveg,hf271,barker.plotkin,AcerBetula,66,42.54214411,-72.17304119,obs,NA,NA,prospect hill,2,3,2,3,0.001758,1.03,0.342,0.002233774,763.9507533
2013,phveg,hf271,barker.plotkin,AcerBetula,66,42.54214411,-72.17304119,obs,NA,NA,prospect hill,2,3,1,6,0.000172,1.11,0.39,0.000471047,183.7084743
2013,phveg,hf271,barker.plotkin,AcerBetula,68,42.54239481,-72.18177446,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,68,42.54239481,-72.18177446,obs,NA,NA,prospect hill,1,3,1,5,0.000172,1.11,0.39,0.000392539,153.0903953
2013,phveg,hf271,barker.plotkin,AcerBetula,68,42.54239481,-72.18177446,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,68,42.54239481,-72.18177446,obs,NA,NA,prospect hill,2,3,1,4,0.000172,1.11,0.39,0.000314032,122.4723162
2013,phveg,hf271,barker.plotkin,Pinus,73,42.53098159,-72.18724801,obs,NA,NA,prospect hill,1,3,1,21,0.000187,1.13,0.395,0.001833523,724.2416907
2013,phveg,hf271,barker.plotkin,Pinus,73,42.53098159,-72.18724801,obs,NA,NA,prospect hill,1,3,2,5,0.001656,1.13,0.397,0.00384743,1527.429571
2013,phveg,hf271,barker.plotkin,Pinus,73,42.53098159,-72.18724801,obs,NA,NA,prospect hill,2,3,1,14,0.000187,1.13,0.395,0.001222349,482.8277938
2013,phveg,hf271,barker.plotkin,Pinus,73,42.53098159,-72.18724801,obs,NA,NA,prospect hill,2,3,2,1,0.001656,1.13,0.397,0.000769486,305.4859142
2013,phveg,hf271,barker.plotkin,Tsuga,76,42.53671481,-72.17976088,obs,NA,NA,prospect hill,1,3,1,5,0.000154,1.13,0.387,0.000357792,138.4656475
2013,phveg,hf271,barker.plotkin,Tsuga,76,42.53671481,-72.17976088,obs,NA,NA,prospect hill,1,3,2,0,0.00189,1.13,0.389,0,0
2013,phveg,hf271,barker.plotkin,Tsuga,76,42.53671481,-72.17976088,obs,NA,NA,prospect hill,2,3,1,9,0.000154,1.13,0.387,0.000644026,249.2381655
2013,phveg,hf271,barker.plotkin,Tsuga,76,42.53671481,-72.17976088,obs,NA,NA,prospect hill,2,3,2,0,0.00189,1.13,0.389,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,81,42.53753096,-72.18401033,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,81,42.53753096,-72.18401033,obs,NA,NA,prospect hill,1,3,1,14,0.000172,1.11,0.39,0.001099111,428.6531067
2013,phveg,hf271,barker.plotkin,AcerBetula,81,42.53753096,-72.18401033,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,81,42.53753096,-72.18401033,obs,NA,NA,prospect hill,2,3,1,2,0.000172,1.11,0.39,0.000157016,61.2361581
2013,phveg,hf271,barker.plotkin,AcerBetula,82,42.5343647,-72.18515514,obs,NA,NA,prospect hill,1,3,2,2,0.001758,1.03,0.342,0.001489183,509.3005022
2013,phveg,hf271,barker.plotkin,AcerBetula,82,42.5343647,-72.18515514,obs,NA,NA,prospect hill,1,3,1,1,0.000172,1.11,0.39,7.85E-05,30.61807905
2013,phveg,hf271,barker.plotkin,AcerBetula,82,42.5343647,-72.18515514,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,82,42.5343647,-72.18515514,obs,NA,NA,prospect hill,2,3,1,2,0.000172,1.11,0.39,0.000157016,61.2361581
2013,phveg,hf271,barker.plotkin,AcerBetula,84,42.53200628,-72.18566249,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,84,42.53200628,-72.18566249,obs,NA,NA,prospect hill,1,3,1,3,0.000172,1.11,0.39,0.000235524,91.85423715
2013,phveg,hf271,barker.plotkin,AcerBetula,84,42.53200628,-72.18566249,obs,NA,NA,prospect hill,2,3,2,2,0.001758,1.03,0.342,0.001489183,509.3005022
2013,phveg,hf271,barker.plotkin,AcerBetula,84,42.53200628,-72.18566249,obs,NA,NA,prospect hill,2,3,1,5,0.000172,1.11,0.39,0.000392539,153.0903953
2013,phveg,hf271,barker.plotkin,Pinus,86,42.53948361,-72.18764749,obs,NA,NA,prospect hill,1,3,1,8,0.000187,1.13,0.395,0.000698485,275.9015965
2013,phveg,hf271,barker.plotkin,Pinus,86,42.53948361,-72.18764749,obs,NA,NA,prospect hill,1,3,2,1,0.001656,1.13,0.397,0.000769486,305.4859142
2013,phveg,hf271,barker.plotkin,Pinus,86,42.53948361,-72.18764749,obs,NA,NA,prospect hill,2,3,1,16,0.000187,1.13,0.395,0.00139697,551.8031929
2013,phveg,hf271,barker.plotkin,Pinus,86,42.53948361,-72.18764749,obs,NA,NA,prospect hill,2,3,2,1,0.001656,1.13,0.397,0.000769486,305.4859142
2013,phveg,hf271,barker.plotkin,AcerBetula,90,42.53101403,-72.18840287,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,90,42.53101403,-72.18840287,obs,NA,NA,prospect hill,1,3,1,3,0.000172,1.11,0.39,0.000235524,91.85423715
2013,phveg,hf271,barker.plotkin,AcerBetula,90,42.53101403,-72.18840287,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,90,42.53101403,-72.18840287,obs,NA,NA,prospect hill,2,3,1,7,0.000172,1.11,0.39,0.000549555,214.3265534
