arm_id,site,day,month,year,precipitation_mm,runoff_mm,sediment_delivery_kg_m
santee_constant,SANTEE,5,6,49,24.1,2.6,0.0
santee_constant,SANTEE,8,9,49,109.4,71.1,0.0
santee_constant,SANTEE,15,10,49,72.6,27.8,0.0
santee_constant,SANTEE,20,5,50,59.9,17.1,0.0
santee_constant,SANTEE,4,7,50,84.6,56.3,0.0
santee_constant,SANTEE,22,7,50,60.3,23.0,0.0
santee_constant,SANTEE,2,9,50,154.0,104.0,0.0
santee_constant,SANTEE,15,9,50,80.0,43.3,0.0
santee_constant,SANTEE,21,9,50,65.7,20.0,0.0
santee_constant,SANTEE,1,12,50,63.6,11.7,0.0
santee_constant,SANTEE,11,7,51,72.9,27.0,0.0
santee_constant,SANTEE,26,7,51,61.7,15.4,0.0
santee_constant,SANTEE,25,12,51,72.5,17.6,0.0
santee_constant,SANTEE,15,4,52,64.3,8.0,0.0
santee_constant,SANTEE,29,6,52,47.0,1.0,0.0
santee_constant,SANTEE,21,7,52,89.3,48.5,0.0
santee_constant,SANTEE,6,8,52,60.6,28.6,0.0
santee_constant,SANTEE,23,8,52,50.0,4.4,0.0
santee_constant,SANTEE,24,8,52,64.6,42.4,0.0
santee_constant,SANTEE,25,9,52,166.0,116.9,0.0
santee_constant,SANTEE,26,8,53,58.1,21.8,0.0
santee_constant,SANTEE,1,10,53,58.0,10.3,0.0
santee_constant,SANTEE,2,10,53,37.9,16.7,0.0
santee_constant,SANTEE,12,2,54,53.3,14.2,0.0
santee_constant,SANTEE,1,6,54,78.0,39.1,0.0
santee_constant,SANTEE,16,6,54,45.9,0.9,0.0
santee_constant,SANTEE,24,7,54,54.0,1.3,0.0
santee_constant,SANTEE,19,10,54,88.8,42.9,0.0
santee_constant,SANTEE,9,11,54,53.5,9.5,0.0
santee_constant,SANTEE,16,7,55,52.5,4.7,0.0
santee_constant,SANTEE,17,7,55,38.1,16.5,0.0
santee_constant,SANTEE,27,8,55,50.9,0.3,0.0
santee_constant,SANTEE,10,10,55,52.2,11.4,0.0
santee_constant,SANTEE,11,3,56,50.9,8.0,0.0
santee_constant,SANTEE,6,4,56,54.3,6.5,0.0
santee_constant,SANTEE,18,6,56,75.1,26.1,0.0
