candidate_id,temperature_pair_id,vpd_pair_id,photoperiod_pair_id,minimum_temperature_inactive_c,minimum_temperature_unconstrained_c,vapor_pressure_deficit_unconstrained_pa,vapor_pressure_deficit_inactive_pa,photoperiod_inactive_hours,photoperiod_unconstrained_hours,boundary_class,saturation_flags
GSI-0099,temperature-q00-q05,vpd-q00-q95,photoperiod-q25-q100,-27.520000000,-14.298500000,30.266994000,1100.647927550,12.478643418,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0100,temperature-q00-q05,vpd-q00-q95,photoperiod-q50-q75,-27.520000000,-14.298500000,30.266994000,1100.647927550,13.947157389,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0101,temperature-q00-q05,vpd-q00-q95,photoperiod-q50-q95,-27.520000000,-14.298500000,30.266994000,1100.647927550,13.947157389,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0102,temperature-q00-q05,vpd-q00-q95,photoperiod-q50-q100,-27.520000000,-14.298500000,30.266994000,1100.647927550,13.947157389,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0103,temperature-q00-q05,vpd-q00-q95,photoperiod-q75-q95,-27.520000000,-14.298500000,30.266994000,1100.647927550,15.020315923,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0104,temperature-q00-q05,vpd-q00-q95,photoperiod-q75-q100,-27.520000000,-14.298500000,30.266994000,1100.647927550,15.020315923,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0105,temperature-q00-q05,vpd-q00-q95,photoperiod-q95-q100,-27.520000000,-14.298500000,30.266994000,1100.647927550,15.287745094,15.294208010,DOUBLE_BOUNDARY,photoperiod
GSI-0106,temperature-q00-q05,vpd-q00-q100,photoperiod-q00-q05,-27.520000000,-14.298500000,30.266994000,2155.325437000,10.935970516,11.239373219,DOUBLE_BOUNDARY,NONE
GSI-0107,temperature-q00-q05,vpd-q00-q100,photoperiod-q00-q25,-27.520000000,-14.298500000,30.266994000,2155.325437000,10.935970516,12.478643418,DOUBLE_BOUNDARY,NONE
GSI-0108,temperature-q00-q05,vpd-q00-q100,photoperiod-q00-q50,-27.520000000,-14.298500000,30.266994000,2155.325437000,10.935970516,13.947157389,DOUBLE_BOUNDARY,NONE
GSI-0109,temperature-q00-q05,vpd-q00-q100,photoperiod-q00-q75,-27.520000000,-14.298500000,30.266994000,2155.325437000,10.935970516,15.020315923,DOUBLE_BOUNDARY,NONE
GSI-0110,temperature-q00-q05,vpd-q00-q100,photoperiod-q00-q95,-27.520000000,-14.298500000,30.266994000,2155.325437000,10.935970516,15.287745094,DOUBLE_BOUNDARY,NONE
GSI-0111,temperature-q00-q05,vpd-q00-q100,photoperiod-q00-q100,-27.520000000,-14.298500000,30.266994000,2155.325437000,10.935970516,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0112,temperature-q00-q05,vpd-q00-q100,photoperiod-q05-q25,-27.520000000,-14.298500000,30.266994000,2155.325437000,11.239373219,12.478643418,DOUBLE_BOUNDARY,NONE
GSI-0113,temperature-q00-q05,vpd-q00-q100,photoperiod-q05-q50,-27.520000000,-14.298500000,30.266994000,2155.325437000,11.239373219,13.947157389,DOUBLE_BOUNDARY,NONE
GSI-0114,temperature-q00-q05,vpd-q00-q100,photoperiod-q05-q75,-27.520000000,-14.298500000,30.266994000,2155.325437000,11.239373219,15.020315923,DOUBLE_BOUNDARY,NONE
GSI-0115,temperature-q00-q05,vpd-q00-q100,photoperiod-q05-q95,-27.520000000,-14.298500000,30.266994000,2155.325437000,11.239373219,15.287745094,DOUBLE_BOUNDARY,NONE
GSI-0116,temperature-q00-q05,vpd-q00-q100,photoperiod-q05-q100,-27.520000000,-14.298500000,30.266994000,2155.325437000,11.239373219,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0117,temperature-q00-q05,vpd-q00-q100,photoperiod-q25-q50,-27.520000000,-14.298500000,30.266994000,2155.325437000,12.478643418,13.947157389,DOUBLE_BOUNDARY,NONE
GSI-0118,temperature-q00-q05,vpd-q00-q100,photoperiod-q25-q75,-27.520000000,-14.298500000,30.266994000,2155.325437000,12.478643418,15.020315923,DOUBLE_BOUNDARY,NONE
GSI-0119,temperature-q00-q05,vpd-q00-q100,photoperiod-q25-q95,-27.520000000,-14.298500000,30.266994000,2155.325437000,12.478643418,15.287745094,DOUBLE_BOUNDARY,NONE
GSI-0120,temperature-q00-q05,vpd-q00-q100,photoperiod-q25-q100,-27.520000000,-14.298500000,30.266994000,2155.325437000,12.478643418,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0121,temperature-q00-q05,vpd-q00-q100,photoperiod-q50-q75,-27.520000000,-14.298500000,30.266994000,2155.325437000,13.947157389,15.020315923,DOUBLE_BOUNDARY,NONE
GSI-0122,temperature-q00-q05,vpd-q00-q100,photoperiod-q50-q95,-27.520000000,-14.298500000,30.266994000,2155.325437000,13.947157389,15.287745094,DOUBLE_BOUNDARY,NONE
GSI-0123,temperature-q00-q05,vpd-q00-q100,photoperiod-q50-q100,-27.520000000,-14.298500000,30.266994000,2155.325437000,13.947157389,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0124,temperature-q00-q05,vpd-q00-q100,photoperiod-q75-q95,-27.520000000,-14.298500000,30.266994000,2155.325437000,15.020315923,15.287745094,DOUBLE_BOUNDARY,NONE
GSI-0125,temperature-q00-q05,vpd-q00-q100,photoperiod-q75-q100,-27.520000000,-14.298500000,30.266994000,2155.325437000,15.020315923,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0126,temperature-q00-q05,vpd-q00-q100,photoperiod-q95-q100,-27.520000000,-14.298500000,30.266994000,2155.325437000,15.287745094,15.294208010,DOUBLE_BOUNDARY,photoperiod
GSI-0127,temperature-q00-q05,vpd-q05-q25,photoperiod-q00-q05,-27.520000000,-14.298500000,111.993704700,221.146809000,10.935970516,11.239373219,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0128,temperature-q00-q05,vpd-q05-q25,photoperiod-q00-q25,-27.520000000,-14.298500000,111.993704700,221.146809000,10.935970516,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0129,temperature-q00-q05,vpd-q05-q25,photoperiod-q00-q50,-27.520000000,-14.298500000,111.993704700,221.146809000,10.935970516,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0130,temperature-q00-q05,vpd-q05-q25,photoperiod-q00-q75,-27.520000000,-14.298500000,111.993704700,221.146809000,10.935970516,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0131,temperature-q00-q05,vpd-q05-q25,photoperiod-q00-q95,-27.520000000,-14.298500000,111.993704700,221.146809000,10.935970516,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0132,temperature-q00-q05,vpd-q05-q25,photoperiod-q00-q100,-27.520000000,-14.298500000,111.993704700,221.146809000,10.935970516,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0133,temperature-q00-q05,vpd-q05-q25,photoperiod-q05-q25,-27.520000000,-14.298500000,111.993704700,221.146809000,11.239373219,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
