# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 61K of event 'cycles:P'
# Event count (approx.): 4076178927368
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     0.71%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::scheduler::apply_transfer_input_to_lane_surface                                                                                                                                                                                                         -      -
     0.69%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff9800e456                                                                                                                                                                                                                                                                       -      -
     0.68%     0.38%  openwepp-cli-hi  openwepp-cli-hill  [.] core::num::flt2dec::strategy::dragon::format_exact                                                                                                                                                                                                                                       -      -
     0.68%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::stable::driftsort_main                                                                                                                                                                                                                                                -      -
     0.67%     0.55%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::stable::drift::sort                                                                                                                                                                                                                                                   -      -
     0.66%     0.04%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::raw_vec::RawVecInner<A>::finish_grow                                                                                                                                                                                                                                              -      -
     0.65%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_handle                                                                                                                                                                                                                           -      -
     0.65%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::raw_vec::RawVecInner<A>::finish_grow                                                                                                                                                                                                                                              -      -
     0.64%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffff9800d452                                                                                                                                                                                                                                                                       -      -
     0.57%     0.32%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::shared::smallsort::bidirectional_merge                                                                                                                                                                                                                                -      -
     0.56%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::execute_hillslope_run                                                                                                                                                                                                                                        -      -
     0.55%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_plant_percolation::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::wb18_aggregate_soil_water_after_percolation                                                                    -      -
     0.53%     0.00%  openwepp-cli-hi  libc.so.6          [.] tcache_get (inlined)                                                                                                                                                                                                                                                                     -      -
     0.53%     0.00%  openwepp-cli-hi  libc.so.6          [.] tcache_get_n (inlined)                                                                                                                                                                                                                                                                   -      -
     0.51%     0.19%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::vec::Vec<T,A>::push_mut                                                                                                                                                                                                                                                           -      -


#
# (Cannot load tips.txt file, please install perf!)
#
