scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.50,2025-05-01,0.2594871663848668,0.047012628402769562,True,739335.913970071,2025-03-25,-36.086029929,7,1,0,6
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.60,2025-05-01,0.31138459966184012,0.047012628402769562,True,739328.894728335,2025-03-18,-43.105271665,5,1,0,4
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.70,2025-05-01,0.3632820329388135,0.047012628402769562,True,739319.194342719,2025-03-09,-52.805657281,1,1,0,0
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.75,2025-05-01,0.38923074957730019,0.047012628402769562,True,739312.203334525,2025-03-02,-59.796665475,1,1,0,0
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.80,2025-05-01,0.41517946621578689,0.047012628402769562,True,739306.642754816,2025-02-24,-65.357245184,1,1,0,0
BASE,GSI-2629,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.90,2025-05-01,0.46707689949276027,0.047012628402769562,True,739298.360556082,2025-02-16,-73.639443918,1,1,0,0
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.10,2025-09-05,0.051897433276973361,0.018582477882385342,True,739574.685607486,2025-11-19,75.685607486,9,2,1,7
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.20,2025-09-05,0.10379486655394672,0.018582477882385342,True,739614.758932799,2025-12-29,115.758932799,9,1,0,8
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.25,2025-09-05,0.1297435831924334,0.018582477882385342,False,,,,6,0,0,6
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.30,2025-09-05,0.15569229983092006,0.018582477882385342,False,,,,6,0,0,6
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.40,2025-09-05,0.20758973310789344,0.018582477882385342,False,,,,6,0,0,6
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.50,2025-09-05,0.2594871663848668,0.018582477882385342,False,,,,7,0,0,7
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.60,2025-09-05,0.31138459966184012,0.018582477882385342,False,,,,5,0,0,5
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.70,2025-09-05,0.3632820329388135,0.018582477882385342,False,,,,1,0,0,1
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.75,2025-09-05,0.38923074957730019,0.018582477882385342,False,,,,1,0,0,1
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.80,2025-09-05,0.41517946621578689,0.018582477882385342,False,,,,1,0,0,1
BASE,GSI-2629,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.90,2025-09-05,0.46707689949276027,0.018582477882385342,False,,,,1,0,0,1
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.10,2024-05-21,0.029385849939644184,0.0033294133642096137,True,739012.356406752,2024-05-06,-14.643593248,16,1,0,15
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.20,2024-05-21,0.058771699879288368,0.0033294133642096137,True,739005.843252522,2024-04-29,-21.156747478,13,1,0,12
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.25,2024-05-21,0.073464624849110455,0.0033294133642096137,True,738997.959995448,2024-04-21,-29.040004552,11,1,0,10
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.30,2024-05-21,0.088157549818932548,0.0033294133642096137,True,738995.370374212,2024-04-19,-31.629625788,9,1,0,8
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.40,2024-05-21,0.11754339975857674,0.0033294133642096137,True,738985.543999192,2024-04-09,-41.456000808,6,1,0,5
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.50,2024-05-21,0.14692924969822091,0.0033294133642096137,True,738947.212052154,2024-03-02,-79.787947846,6,2,1,4
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.60,2024-05-21,0.1763150996378651,0.0033294133642096137,True,738942.176017643,2024-02-26,-84.823982357,6,2,1,4
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.70,2024-05-21,0.20570094957750926,0.0033294133642096137,True,738938.185206218,2024-02-22,-88.814793782,7,3,2,4
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.75,2024-05-21,0.22039387454733136,0.0033294133642096137,True,738972.159195216,2024-03-27,-54.840804784,5,1,0,4
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.80,2024-05-21,0.23508679951715347,0.0033294133642096137,True,738970.231965065,2024-03-25,-56.768034935,7,1,0,6
BASE,GSI-2630,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.90,2024-05-21,0.26447264945679766,0.0033294133642096137,False,,,,6,0,0,6
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.10,2024-08-24,0.029385849939644184,0.01464394432107116,True,739131.133098261,2024-09-02,9.133098261,16,5,4,11
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.20,2024-08-24,0.058771699879288368,0.01464394432107116,False,,,,13,0,0,13
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.25,2024-08-24,0.073464624849110455,0.01464394432107116,False,,,,11,0,0,11
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.30,2024-08-24,0.088157549818932548,0.01464394432107116,False,,,,9,0,0,9
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.40,2024-08-24,0.11754339975857674,0.01464394432107116,False,,,,6,0,0,6
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.50,2024-08-24,0.14692924969822091,0.01464394432107116,False,,,,6,0,0,6
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.60,2024-08-24,0.1763150996378651,0.01464394432107116,False,,,,6,0,0,6
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.70,2024-08-24,0.20570094957750926,0.01464394432107116,False,,,,7,0,0,7
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.75,2024-08-24,0.22039387454733136,0.01464394432107116,False,,,,5,0,0,5
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.80,2024-08-24,0.23508679951715347,0.01464394432107116,False,,,,7,0,0,7
BASE,GSI-2630,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.90,2024-08-24,0.26447264945679766,0.01464394432107116,False,,,,6,0,0,6
BASE,GSI-2630,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.10,2025-05-01,0.048708185463345273,0.04412356601800288,True,739371.291966108,2025-04-30,-0.708033892,9,1,0,8
